Product_Model_ID,Name,Catalog_Description,Modified_Date,rowguid
1,Classic Vest,,2007-06-01 00:00:00,29321d47-1e4c-4aac-887c-19634328c25e
2,Cycling Cap,,2005-06-01 00:00:00,474fb654-3c96-4cb9-82df-2152eeffbdb0
3,Full-Finger Gloves,,2006-06-01 00:00:00,a75483fe-3c47-4aa4-93cf-664b51192987
4,Half-Finger Gloves,,2006-06-01 00:00:00,14b56f2a-d4aa-40a4-b9a2-984f165ed702
5,HL Mountain Frame,,2005-06-01 00:00:00,fdd5407b-c2db-49d1-a86b-c13a2e3582a2
6,HL Road Frame,,2002-05-02 00:00:00,4d332ecc-48b3-4e04-b7e7-227f3ac2a7ec
7,HL Touring Frame,,2009-05-16 00:00:00,d60ed2a5-c100-4c54-89a1-531404c4a20f
8,LL Mountain Frame,,2006-11-20 00:00:00,65bf3f6d-bcf2-4db6-8515-fc5c57423037
9,LL Road Frame,,2005-06-01 00:00:00,ddc67a2f-024a-4446-9b54-3c679baba708
10,LL Touring Frame,,2009-05-16 00:00:00,66c63844-2a24-473c-96d5-d3b3fd57d834
11,Long-Sleeve Logo Jersey,,2005-06-01 00:00:00,20efe3f1-a2f8-4dde-b74b-18265f61f863
12,Men's Bib-Shorts,,2006-06-01 00:00:00,219e2f87-26a9-483b-b968-04578e943096
13,Men's Sports Shorts,,2006-06-01 00:00:00,45fe0d77-6645-473c-a116-1232baea8d43
14,ML Mountain Frame,,2006-06-01 00:00:00,0d48c51d-7603-4010-9265-0491805bb010
15,ML Mountain Frame-W,,2006-06-01 00:00:00,aa77697c-6d1c-48f1-845c-3cb089498715
16,ML Road Frame,,2005-06-01 00:00:00,3494e8ff-7daf-4860-abf6-97842048e272
17,ML Road Frame-W,,2006-06-01 00:00:00,ca18ecfd-2023-4fa7-a556-0321153bca34
18,Mountain Bike Socks,,2005-06-01 00:00:00,36b1a76a-dff3-4a55-86f9-65eb1cb18d7b
19,Mountain-100,"<?xml-stylesheet href=""ProductDescription.xsl"" type=""text/xsl""?><p1:ProductDescription xmlns:p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription"" xmlns:wm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain"" xmlns:wf=""http://www.adventure-works.com/schemas/OtherFeatures"" xmlns:html=""http://www.w3.org/1999/xhtml"" ProductModelID=""19"" ProductModelName=""Mountain 100""><p1:Summary><html:p>Our top-of-the-line competition mountain bike. 
 				Performance-enhancing options include the innovative HL Frame, 
				super-smooth front suspension, and traction for all terrain.
                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>These are the product highlights. 
                 <wm:Warranty><wm:WarrantyPeriod>3 years</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>10 years</wm:NoOfYears><wm:Description>maintenance contract available through your dealer or any AdventureWorks retail store.</wm:Description></wm:Maintenance><wf:wheel>High performance wheels.</wf:wheel><wf:saddle><html:i>Anatomic design</html:i> and made from durable leather for a full-day of riding in comfort.</wf:saddle><wf:pedal><html:b>Top-of-the-line</html:b> clipless pedals with adjustable tension.</wf:pedal><wf:BikeFrame>Each frame is hand-crafted in our Bothell facility to the optimum diameter 
				and wall-thickness required of a premium mountain frame. 
				The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.</wf:BikeFrame><wf:crankset> Triple crankset; alumunim crank arm; flawless shifting. </wf:crankset></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>118</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.
                   <Material>Almuminum Alloy</Material><Color>Available in most colors</Color><ProductLine>Mountain bike</ProductLine><Style>Unisex</Style><RiderExperience>Advanced to Professional riders</RiderExperience></p1:Specifications></p1:ProductDescription>",2005-06-01 00:00:00,fca0665b-b956-489a-a5ec-6f0b4aa14d02
20,Mountain-200,,2006-06-01 00:00:00,3b78edff-2aa9-4ac1-8c3d-94090b5f53a9
21,Mountain-300,,2006-06-01 00:00:00,ecddd0d7-2db2-464d-b2da-89bffc6276aa
22,Mountain-400-W,,2007-06-01 00:00:00,6d2fcce4-ffce-4662-a3f8-5d18f0eedcd8
23,Mountain-500,"<?xml-stylesheet href=""ProductDescription.xsl"" type=""text/xsl""?><p1:ProductDescription xmlns:p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription"" xmlns:wm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain"" xmlns:wf=""http://www.adventure-works.com/schemas/OtherFeatures"" xmlns:html=""http://www.w3.org/1999/xhtml"" ProductModelID=""23"" ProductModelName=""Mountain-500""><p1:Summary><html:p>Suitable for any type of riding, on or off-road. 
			Fits any budget. Smooth-shifting with a comfortable ride.
                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>Product highlights include: 
                 <wm:Warranty><wm:WarrantyPeriod>1 year</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>3 years</wm:NoOfYears><wm:Description>maintenance contact available through dealer</wm:Description></wm:Maintenance><wf:wheel>Stable, durable wheels suitable for novice riders.</wf:wheel><wf:saddle>Made from synthetic leather and features gel padding for increased comfort.</wf:saddle><wf:pedal><html:b>Expanded platform</html:b> so you can ride in any shoes; great for all-around riding.</wf:pedal><wf:crankset> Super rigid spindle. </wf:crankset><wf:BikeFrame>Our best value frame utilizing the same, ground-breaking technology as the ML aluminum frame.</wf:BikeFrame></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>1</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.
                   <Height>Varies</Height> Centimeters.
                   <Material>Aluminum Alloy</Material><Color>Available in all colors.</Color><ProductLine>Mountain bike</ProductLine><Style>Unisex</Style><RiderExperience>Novice to Intermediate riders</RiderExperience></p1:Specifications></p1:ProductDescription>",2006-11-20 00:00:00,866dbad3-5999-4329-beac-d826d959d9a1
